frame_command_id,frame_set,command_NP,command_VP
1,frame23,STRT,use_command
2,frame103,UCO,use_command
3,frame207,TOC,use_command
4,frame3,STRT,use_command
5,frame42,UCO,use_command
6,frame43,EFL,use_command
7,frame78,EFL,use_command
8,frame79,EFL,use_command
9,frame156,TOC,use_command
