frame_fixation_set,frame_set,fixation_NP,fixation_VP
227,frame229,med,use_fixation
228,frame230,high,use_fixation
229,frame231,low,use_fixation
230,frame232,med,use_fixation
231,frame233,med,use_fixation
232,frame234,med,use_fixation
233,frame235,low,use_fixation
234,frame236,med,use_fixation
235,frame237,med,use_fixation
236,frame238,med,use_fixation
237,frame239,med,use_fixation
238,frame240,med,use_fixation
239,frame241,high,use_fixation
240,frame242,med,use_fixation
241,frame243,med,use_fixation
242,frame244,high,use_fixation
243,frame245,med,use_fixation
244,frame246,med,use_fixation
245,frame247,high,use_fixation
246,frame248,med,use_fixation
247,frame249,med,use_fixation
248,frame250,med,use_fixation
249,frame251,med,use_fixation
250,frame252,med,use_fixation
251,frame253,med,use_fixation
252,frame254,med,use_fixation
253,frame255,med,use_fixation
254,frame256,low,use_fixation
255,frame257,med,use_fixation
256,frame258,high,use_fixation
257,frame259,med,use_fixation
258,frame260,med,use_fixation
259,frame261,low,use_fixation
260,frame262,med,use_fixation
261,frame263,med,use_fixation
262,frame264,med,use_fixation
263,frame265,high,use_fixation
264,frame266,med,use_fixation
265,frame267,high,use_fixation
266,frame268,med,use_fixation
267,frame269,med,use_fixation
268,frame270,med,use_fixation
269,frame271,med,use_fixation
270,frame272,med,use_fixation
271,frame273,med,use_fixation
272,frame274,med,use_fixation
273,frame275,med,use_fixation
274,frame276,med,use_fixation
275,frame277,med,use_fixation
276,frame278,low,use_fixation
277,frame279,high,use_fixation
278,frame280,med,use_fixation
279,frame281,med,use_fixation
280,frame282,med,use_fixation
281,frame283,med,use_fixation
282,frame284,med,use_fixation
283,frame285,med,use_fixation
284,frame286,high,use_fixation
285,frame287,med,use_fixation
286,frame288,med,use_fixation
287,frame289,med,use_fixation
288,frame290,med,use_fixation
289,frame291,med,use_fixation
290,frame292,med,use_fixation
291,frame293,low,use_fixation
292,frame294,low,use_fixation
293,frame295,med,use_fixation
294,frame296,med,use_fixation
295,frame297,med,use_fixation
296,frame298,high,use_fixation
297,frame299,low,use_fixation
298,frame300,med,use_fixation
299,frame301,med,use_fixation
300,frame302,med,use_fixation
301,frame303,med,use_fixation
302,frame304,high,use_fixation
303,frame305,med,use_fixation
304,frame306,low,use_fixation
305,frame307,med,use_fixation
306,frame308,high,use_fixation
307,frame309,high,use_fixation
308,frame310,med,use_fixation
309,frame311,high,use_fixation
310,frame312,med,use_fixation
311,frame313,high,use_fixation
312,frame314,med,use_fixation
313,frame315,med,use_fixation
314,frame316,med,use_fixation
315,frame317,med,use_fixation
316,frame318,med,use_fixation
317,frame319,med,use_fixation
318,frame320,high,use_fixation
319,frame321,high,use_fixation
320,frame322,med,use_fixation
321,frame323,med,use_fixation
322,frame324,med,use_fixation
323,frame325,med,use_fixation
324,frame326,low,use_fixation
325,frame327,med,use_fixation
326,frame328,med,use_fixation
327,frame329,med,use_fixation
328,frame330,med,use_fixation
329,frame331,low,use_fixation
330,frame332,med,use_fixation
331,frame333,high,use_fixation
332,frame334,med,use_fixation
333,frame335,med,use_fixation
334,frame336,med,use_fixation
335,frame337,med,use_fixation
336,frame338,high,use_fixation
337,frame339,med,use_fixation
338,frame340,high,use_fixation
339,frame341,med,use_fixation
340,frame342,med,use_fixation
341,frame343,med,use_fixation
342,frame344,med,use_fixation
343,frame345,med,use_fixation
344,frame346,low,use_fixation
345,frame347,med,use_fixation
346,frame348,med,use_fixation
347,frame349,med,use_fixation
348,frame350,low,use_fixation
349,frame351,med,use_fixation
350,frame352,high,use_fixation
351,frame353,med,use_fixation
352,frame354,med,use_fixation
353,frame355,med,use_fixation
354,frame356,med,use_fixation
355,frame357,med,use_fixation
356,frame358,med,use_fixation
357,frame359,med,use_fixation
358,frame360,med,use_fixation
