callsign_frame_id,callsign_set,frame_NP,frame_VP
1,CPA633,frame1,use_frame
2,MAS547,frame2,use_frame
3,CPA633,frame7,use_frame
4,MAS547,frame12,use_frame
5,CPA633,frame49,use_frame
6,MAS547,frame124,use_frame
7,MAS547,frame154,use_frame
