callsign_frame_id,callsign_set,frame_NP,frame_VP
1,GIA275,frame82,use_frame
2,GIA275,frame99,use_frame
3,GIA275,frame110,use_frame
4,GIA275,frame164,use_frame
5,GIA275,frame185,use_frame
6,GIA275,frame191,use_frame
7,CSN387,frame86,use_frame
8,CSN387,frame114,use_frame
9,CSN387,frame154,use_frame
10,CSN387,frame195,use_frame
11,CSN387,frame196,use_frame
